Review,Sentiment
no way plug converter,0
good case excellent value,1
great jawbone,1
tie charger conversation last minutesmajor problem,0
mic great,1
jiggle plug line right decent volume,0
dozen contact imagine fun send,0
razr owneryou,1
needle waste money,0
waste money time,0
sound quality great,1
impressed go original battery extend battery,1
seperated mere ft start notice excessive static garble sound headset,0
good quality,1
design odd ear clip not comfortable,0
highly recommend blue tooth phone,1
advise not fool,0
far good,1
work great,1
click place way make wonder long mechanism,0
go motorolas website follow direction not pair,0
bought use kindle fire absolutely love,1
commercial mislead,0
run new battery bar s day charge,1
bought mother problem battery,0
great pocket pc phone combination,1
ve own phone month best mobile phone ve,1
nt think instruction provide helpful,0
people nt hear talk pull earphone talk phone,0
nt hold charge,0
simple little phone use breakage unacceptible,0
product ideal people like ear sensitive,1
unusable move car freeway speed,0
year left contract hate phone,0
car charger ac charger include sure never run juicehighy recommend,1
need min phone book time turn phonebattery life short,0
kept,1
poor talk time performance,0
case great work fine,1
worthless product,0
great camera s mp pic nice clear great picture quality,1
not impressed product,0
nice headset price right,1
hear garbage audio,0
excellent bluetooth headset,1
feature want,1
right mind gon na buy battery,0
argue verizon drop call return phone day,0
case,1
disappointed battery,0
not loud nt turn like,0
good protection not phone bulky,1
usable keyboard actually turn pda realworld useful machine instead neat gadget,1
phone pretty sturdy ve never large problem,1
love thing,1
fine reasonable price ie,1
disappointed,0
drop phone stream submerge second work great,1
happy no complaint sound quality end,1
button bad,0
essentially forget microsofts tech support,0
recommend faceplate look nice elegant cool,1
headphone great find think best purchase ve year seriously,1
buy different phone not,0
hold phone particular angle party hear clearly,0
big drawback mp player button phone cover let pause skip song lock second,0
week later activate suddenly die,0
feel comfortable headset wear glass get way,1
great ipod,1
device great situation,1
mic nt work,0
bmw series fairly quiet trouble hearing person say,0
great choice,1
nice dock station home work,1
beautiful phone,1
love product,1
not buy dwrongly advertised d,0
great little item,1
love phone handy lot feature,1
purchase day no longer work,0
wear everyday hold,1
not good bargain,0
package arrive time work intend,1
battery run quickly,0
item work great broke month use,0
headset easy use love,1
phone work great,1
construction headset poor,0
product excellent work well verizon boy cheaper,1
phone load super,1
product cost expect work far well great ease thing,0
sturdy,1
work great,1
ear bud play music ear,0
nt waste money,0
order,1
plan use car forget,0
found product waaay big,0
best ve found far ve try bluetooths best quality listener ease,1
m disappointed decision,0
integrate seamlessly motorola razr phone,1
buyer beware flush money right toilet,0
definitely bargain,1
price good free shipping good purchase,1
receive supposedly new motorola apparently not match phone charger,0
prosgood camera nice picture cool style like black white,1
s huge design flaw m not correctly nt think case,0
love headset jabra bluetooth headset great reception good ear piece comfortable fit,1
camera rat impressive megapixels render image fall expectation relatively high resolution,0
purcashed car charger not work,0
sound quality end excellent use headset wife ask wife use headset,1
phone slim light display beautiful,1
little geeky think s sex toast rock ooze sex right battery embed sleek stylish leather case,1
great product fast shipping,1
absolutely great,1
keyboard nice compromise qwerty basic cell phone number keypad,1
get phone end m completely unhappy,0
comfortable ear,1
winner,1
setup nt simpler,1
ve try different earpiece cell phone jabra ve found fit ear comfortably,1
not strong signal,0
iam pleased purchase,1
bad quality,0
get job,1
great audio,1
basically service bad,0
not work cell phone plug set charger,0
ve bluetooth week like,1
bt headset disapoinment,0
small nt realize get,1
accompany software brilliant,1
headset work great package nicely avoid damage,1
definitly recommend,1
buyerbe careful,0
majority logitech earbud headset fail,0
good stuff price,1
headset work peachykeen,1
house get drop coverage upstairs no coverage basement,0
voice recognition tremendous,1
waste,0
different minute call experienced drop area bar,0
not happy item,0
disappointed,0
phone take forever charge like hour literally,0
get phone reccomendation relative m glad,1
waste time,0
reception poor,0
item state include description not include,0
month screen go black sudden,0
hop,0
audio quality poor poor,0
absolutely no problem headset link blackberry curve,1
know sound funny like sketchy technology nt work wellwell work great,1
ve bought wire headphone sound well,0
phone fast send kind message web browsing significantly faster previous phone,1
nice quality build unlike cheap s,1
item fantastic work perfectly,1
love color,1
wi superb,1
whine internet goesthe use thing like,0
great charger,1
essentially communication tool not communicate,0
work like charm work get phone,1
maintain monkey nt headphone obviously nt share dna copy design human,0
great value,1
nt work bougth lc not work,0
look sharp screen nice clear great graphic,1
nt long,0
thing hate mode set button,0
excellent service,1
thank waste money,0
bethe audio quality poor,0
igo charger tip great,1
file browser offer option needshandsfree great,1
superb phone great network,1
connect wife bluetoothmotorola h phone work like charm phone pocket case,1
late o vg like slow crawl lock,0
recognizes phone storage device,0
like loud buzzing override conversation phone,0
nt buy product,0
ve bluetoooth headset time not comfortable way fit ear,0
sound quality good functionality awesome,1
phone thorn abhor,0
recently problem not stay connect minute disconnect,0
incredible,1
design flaw,0
great phone,1
waste buck,0
check voice mail night keypad backlight turn second message m lose,0
replacement die week,0
ring toneoverall good phone buy,1
lately extremely nice helpful phone,1
problem wit hit drop signal,0
not impressed,0
light weight hardly notice,1
ll love thin,1
bad choice,0
pleather case nt fit,0
useless phone simply deaf,0
color prettier thought graphic incredibly sharp,1
think good investment,1
make strange tick noise end,0
best electronics available fm transmitter,1
battery last hour,0
great headset impressed h,1
mega pixel camera phone reasonably good,1
ve nearly year work great,1
good transmit audio,1
send,0
not bother contact company dollar product learn lesson not bought form online,0
hate earbugs avoid phone mean,0
great price,1
range decent ve able roam house phone living room no receptionsound quality issue,1
fast service,1
highly recommend,1
recommend,1
nt like button felt like crack use,0
bad phone,0
m infatuate phone,1
freeze frequently,0
